	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627	110627
	M. africanum1	M. africanum1	M. africanum1	M. africanum2	M. africanum2	M. africanum2	M. gallinarum	M. gallinarum	M. gallinarum	M. marinum	M. marinum	M. marinum	M. xenopi	M. xenopi	M. xenopi	M. szulgai	M. szulgai	M. szulgai	M. scrofulaceum	M. scrofulaceum	M. scrofulaceum	M. bovis	M. bovis	M. bovis	M. kansasii	M. kansasii	M. kansasii	M. avium	M. avium	M. avium	M. flavescence	M. flavescence	M. flavescence	BCG35740	BCG35740	BCG35740	M. rhodesiae	M. rhodesiae	M. rhodesiae	M. phlei	M. phlei	M. phlei	M. chelonae	M. chelonae	M. chelonae	M. brandae	M. brandae	M. brandae	11152	11152	11152	M. lacus	M. lacus	M. lacus	M. simiae	M. simiae	M. simiae	M. africanum3	M. africanum3	M. microti	M. microti	M. microti	M. fortuitum	M. fortuitum	M. fortuitum	10460	10460	10460	15987	15987	15987	NTC	NTC	NTC
Temperature (¡C)	M. africanum	M. africanum	M. africanum	M. africanum	M. africanum	M. africanum	M. gallinarum	M. gallinarum	M. gallinarum	M. marinum	M. marinum	M. marinum	M. xenopi	M. xenopi	M. xenopi	M. szulgai	M. szulgai	M. szulgai	M. scrofulaceum	M. scrofulaceum	M. scrofulaceum	M. bovis	M. bovis	M. bovis	M. kansasii	M. kansasii	M. kansasii	M. avium	M. avium	M. avium	M. flavescence	M. flavescence	M. flavescence	M. bovis	M. bovis	M. bovis	M. rhodesiae	M. rhodesiae	M. rhodesiae	M. phlei	M. phlei	M. phlei	M. chelonae	M. chelonae	M. chelonae	M. brandae	M. brandae	M. brandae	M. microti	M. microti	M. microti	M. lacus	M. lacus	M. lacus	M. simiae	M. simiae	M. simiae	M. africanum	M. africanum	M. microti	M. microti	M. microti	M. fortuitum	M. fortuitum	M. fortuitum	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	M. tuberculosis	NTC	NTC	NTC
24.6	3495.5	3647.66667	3635.5	3665.83333	3623.33333	3789.5	3829	4186	4449.66667	3525.16667	3654.33333	3678.5	4289.33333	4249	4296.33333	4336.83333	4082.66667	4185.5	3541	3654.66667	3759.83333	4061.66667	4259.5	4157.5	3692.33333	3690.5	3675.5	3233.83333	3402.66667	3069	4352.83333	4289	4519.33333	3910.66667	3772.66667	3974.33333	3450.5	3468.33333	3668.83333	4165.5	4101.33333	4139.5	3988.33333	4357	4168	3728.83333	3212.5	3833.16667	3537	3610	3459.16667	3535	3605.16667	3649.33333	3572.5	3742.5	3790.66667	3679.33333	3661.33333	3597.66667	3574.16667	3764.83333	4537.16667	4518.33333	4566	3395.5	3288	3575.16667	3723.83333	3815	3731.33333	3693.33333	3856.83333	4033.16667
26.1	3518.88889	3667.88889	3658.55556	3693	3649.77778	3817	3841.44444	4213.11111	4478.44444	3542.44444	3676	3704.66667	4313.11111	4276.77778	4324.44444	4358.66667	4106.33333	4209.11111	3557.11111	3674.55556	3783.22222	4088.33333	4288.22222	4183.22222	3708.44444	3708.77778	3695.88889	3255.66667	3427.44444	3095.22222	4377.66667	4314.77778	4546.55556	3931	3799.11111	4000	3472.55556	3495	3694	4195	4125.88889	4175.33333	4013	4380.77778	4191.44444	3751.44444	3243.22222	3857.77778	3558.88889	3631	3479.55556	3554	3625	3672.66667	3587.77778	3765.66667	3809.66667	3694.66667	3679	3621.55556	3597.11111	3790.11111	4560.77778	4544	4596.66667	3413	3308.77778	3599	3748.66667	3837.55556	3756.66667	3725.11111	3891.22222	4072.11111
27.1	3564.22222	3714.11111	3709.77778	3744.77778	3703.44444	3876.55556	3868.33333	4266.44444	4538.44444	3582.33333	3724.44444	3754.44444	4361.44444	4338.88889	4378.77778	4407	4160.33333	4261.55556	3595.22222	3713.88889	3829	4143.88889	4348.33333	4235.66667	3746.66667	3748.88889	3740	3299.44444	3478	3152.55556	4425.55556	4366.55556	4602	3979.66667	3853.11111	4050.11111	3521.44444	3546.66667	3746.55556	4257.77778	4181.66667	4245.77778	4063.44444	4428.11111	4244.66667	3797.55556	3298	3904.66667	3603.66667	3673.55556	3524.88889	3593.44444	3663	3719.33333	3618.55556	3807.88889	3850.66667	3732.11111	3718.44444	3666.33333	3645.88889	3844.77778	4611.88889	4603.33333	4656.66667	3454.33333	3344.55556	3649.11111	3795.55556	3888.55556	3801.88889	3788.11111	3960.66667	4149
28.1	3606.33333	3762.33333	3757	3796.44444	3752.66667	3928.88889	3899.55556	4318.55556	4600.44444	3620.22222	3773.33333	3799.33333	4406.77778	4390.88889	4428.66667	4463	4213	4308.11111	3629.33333	3753.22222	3868.88889	4196.33333	4399.44444	4288.55556	3786.55556	3789.33333	3785.44444	3338.22222	3527.22222	3205.11111	4479.22222	4415.33333	4655.11111	4032.33333	3905.55556	4096.77778	3564.88889	3593.88889	3796.55556	4317.44444	4242.33333	4307.11111	4110.55556	4476.44444	4289.66667	3842.44444	3355.11111	3949.11111	3646.33333	3719.22222	3566.44444	3631.88889	3705.33333	3761.55556	3651.88889	3847	3889.66667	3772.55556	3755.22222	3710	3690.55556	3892.33333	4673	4664.66667	4718.77778	3492.44444	3380.44444	3691.77778	3838.77778	3933	3846.33333	3845.44444	4024.33333	4226.55556
29.1	3651.77778	3813.55556	3808.33333	3848.66667	3805.88889	3985.88889	3937	4375.88889	4661.33333	3662.44444	3826.22222	3846.88889	4455.88889	4447.22222	4478.66667	4523	4265.55556	4357.55556	3667.88889	3795.33333	3913.11111	4253.22222	4455.66667	4344.66667	3830.88889	3831.22222	3831.77778	3381.22222	3576	3263	4533.33333	4465.77778	4711.66667	4090.44444	3960.11111	4148.33333	3614.88889	3642.33333	3848.22222	4388.22222	4304.11111	4370.66667	4161.66667	4527.22222	4337.88889	3884.22222	3411.33333	3992.88889	3689.22222	3765.11111	3612.22222	3675.88889	3747.33333	3805.66667	3688.33333	3884.33333	3930	3815.22222	3795.55556	3752.66667	3739.44444	3947	4735.55556	4728.77778	4778.55556	3532.44444	3417.11111	3740.44444	3879.88889	3981.77778	3886.22222	3900.22222	4090.33333	4300.44444
30.1	3700.55556	3866.22222	3858.11111	3904.88889	3858	4039.11111	3976.88889	4437	4728	3705.55556	3878	3901.55556	4508.11111	4499.55556	4535	4583.55556	4320	4409.11111	3707.44444	3840.33333	3958.22222	4316.22222	4512.33333	4406.33333	3876.66667	3875.66667	3877.66667	3431.22222	3628.44444	3324.22222	4596.55556	4522.33333	4774.55556	4147.77778	4016.22222	4204.33333	3664.66667	3697.44444	3901	4460.66667	4372.55556	4435.77778	4213	4582.22222	4388	3926.66667	3474.55556	4041.44444	3731.33333	3813.44444	3655.55556	3722.88889	3799.77778	3854.11111	3724.33333	3929.88889	3971.77778	3860.88889	3838.11111	3802.66667	3785.44444	3998.55556	4799.44444	4792.88889	4843.66667	3575	3461.44444	3788.44444	3922.11111	4026	3930.33333	3957.11111	4156.66667	4380.55556
31.1	3747	3915.66667	3909.11111	3959.22222	3911.77778	4096.77778	4017.77778	4502.77778	4795	3749.44444	3928	3959.77778	4561.88889	4556.66667	4596	4643	4369.44444	4461.77778	3745.55556	3884.55556	4009.11111	4379.88889	4577	4467.55556	3920.44444	3918.77778	3916.66667	3483.22222	3677.88889	3388.88889	4654.44444	4582.55556	4840.22222	4205.66667	4066.77778	4260.88889	3715	3750.66667	3957.11111	4531.77778	4433.22222	4508.11111	4262.77778	4636.11111	4441.11111	3971.55556	3542.33333	4090.44444	3776.44444	3857	3701.33333	3771	3852.66667	3906.11111	3760.22222	3977	4009.77778	3904.55556	3879.88889	3854.44444	3835.33333	4052.77778	4858.33333	4853.22222	4906.88889	3616.22222	3498.55556	3833.44444	3969.11111	4076.33333	3973.77778	4010.88889	4232.66667	4457.44444
32.1	3795.88889	3972.88889	3963.11111	4019	3967.44444	4152	4060.55556	4565.22222	4870.22222	3802.11111	3987	4022.77778	4620.22222	4611.66667	4656.88889	4709.77778	4428.55556	4520.55556	3788.55556	3932.22222	4059.66667	4445.44444	4640.66667	4533	3968.77778	3965.11111	3964	3541.55556	3735.11111	3454.33333	4724.33333	4647.66667	4912.55556	4268.33333	4124.44444	4322.77778	3770.11111	3807.77778	4017.55556	4606.77778	4507.33333	4584.66667	4316.11111	4694.55556	4503.55556	4022.77778	3614.22222	4144	3824.88889	3906.22222	3746.55556	3823.33333	3914.11111	3959.77778	3798.88889	4029.55556	4055.22222	3957.55556	3927.33333	3912.77778	3884.22222	4106.66667	4929	4922.44444	4975	3665.11111	3538.77778	3877.55556	4017.66667	4125.33333	4020	4068.88889	4311.77778	4543.88889
33.1	3846.33333	4026	4017.44444	4079.55556	4026.22222	4214.77778	4103.88889	4632.66667	4942.22222	3850.22222	4049.22222	4083.66667	4680	4673.22222	4716.22222	4775.55556	4485.55556	4580.44444	3831.11111	3980.66667	4111.33333	4508.88889	4714.44444	4601.22222	4012	4008.66667	4010.55556	3595.88889	3789.88889	3521	4791.11111	4714.88889	4989.11111	4331.44444	4180.55556	4385.44444	3828	3864.22222	4079.66667	4683.88889	4574.77778	4664.66667	4371.44444	4754.88889	4564.88889	4074.77778	3687.44444	4199.66667	3874.44444	3956.77778	3799.11111	3882.88889	3982.44444	4019.88889	3839.77778	4076.88889	4097.11111	4005.77778	3976.88889	3969.22222	3938.55556	4167.88889	5001.11111	4991.66667	5046.33333	3712.55556	3579.55556	3922.88889	4070.66667	4175.44444	4067.22222	4126.55556	4395.55556	4628.33333
34.1	3899.33333	4084.33333	4074	4142.44444	4086.44444	4275.77778	4154.33333	4702.11111	5018.33333	3903.55556	4117	4149	4738	4735.11111	4774.77778	4841.66667	4548.55556	4641.55556	3872.11111	4030.88889	4159.44444	4580.44444	4786.77778	4668.44444	4055.11111	4053.88889	4061.66667	3655.55556	3849.11111	3588.66667	4863.88889	4785.77778	5068.88889	4399	4246.33333	4450.55556	3889.44444	3930	4142.66667	4766	4655.77778	4747.66667	4432.55556	4819.66667	4628.88889	4132.11111	3761.55556	4258.55556	3923.88889	4011.44444	3846.66667	3957.11111	4059.66667	4094.44444	3882.55556	4126	4145.33333	4058.33333	4030.44444	4022.11111	3991	4228.55556	5079.22222	5069.66667	5120.33333	3761	3623.88889	3974.11111	4122.11111	4224.11111	4116.22222	4191.33333	4475.33333	4716.66667
